Country,Year,Stat,Data
US,1956,Domestic Wheat Price,22.981728489492216
US,1956,Wheat Exports,80.32763095499816
US,1956,Wheat Imports,54.982899420032616
US,1957,Domestic Wheat Price,50.50779881254309
US,1957,Wheat Exports,54.02477959040032
US,1957,Wheat Imports,51.73414543542173
US,1958,Domestic Wheat Price,100.43116293975133
US,1958,Wheat Exports,55.146883768003406
US,1958,Wheat Imports,8.74442418465797
US,1959,Domestic Wheat Price,81.06651370307203
US,1959,Wheat Exports,99.45958154538555
US,1959,Wheat Imports,39.571006968750886
US,1960,Domestic Wheat Price,8.15726096819348
US,1960,Wheat Exports,20.588848030633827
US,1960,Wheat Imports,63.65367377860692
US,1961,Domestic Wheat Price,50.50636517216713
US,1961,Wheat Exports,73.3423989525729
US,1961,Wheat Imports,81.33960454268066
US,1962,Domestic Wheat Price,91.03753212905936
US,1962,Wheat Exports,64.66934581155006
US,1962,Wheat Imports,31.216958279085976
US,1963,Domestic Wheat Price,78.39998404414895
US,1963,Wheat Exports,43.182099329050224
US,1963,Wheat Imports,93.70671643310868
US,1964,Domestic Wheat Price,52.832378297846944
US,1964,Wheat Exports,46.53114217667911
US,1964,Wheat Imports,19.46835970548736
US,1965,Domestic Wheat Price,19.926017685475053
US,1965,Wheat Exports,66.92778612965454
US,1965,Wheat Imports,84.88294711338499
UK,1956,Domestic Wheat Price,37.20648722487046
UK,1956,Wheat Exports,87.30749093403531
UK,1956,Wheat Imports,27.734787753281722
UK,1957,Domestic Wheat Price,65.96344339932578
UK,1957,Wheat Exports,26.634590577791943
UK,1957,Wheat Imports,60.205639068918245
UK,1958,Domestic Wheat Price,74.31856891849365
UK,1958,Wheat Exports,26.855444533972385
UK,1958,Wheat Imports,96.12855740821614
UK,1959,Domestic Wheat Price,49.330823950268794
UK,1959,Wheat Exports,78.33767678371467
UK,1959,Wheat Imports,71.32146942367228
UK,1960,Domestic Wheat Price,67.04602380693487
UK,1960,Wheat Exports,37.16559939020117
UK,1960,Wheat Imports,64.48781721973201
UK,1961,Domestic Wheat Price,114.64715999919184
UK,1961,Wheat Exports,29.23859784549906
UK,1961,Wheat Imports,34.12650771128354
UK,1962,Domestic Wheat Price,59.544281069329294
UK,1962,Wheat Exports,92.92484922765175
UK,1962,Wheat Imports,120.90731710917643
UK,1963,Domestic Wheat Price,69.97519522403525
UK,1963,Wheat Exports,38.26217948407729
UK,1963,Wheat Imports,98.31458332182409
UK,1964,Domestic Wheat Price,109.61362376937595
UK,1964,Wheat Exports,79.55494075963952
UK,1964,Wheat Imports,33.59100842362284
UK,1965,Domestic Wheat Price,111.38421805964362
UK,1965,Wheat Exports,25.41198638270672
UK,1965,Wheat Imports,71.7391645310014
Soviet Union,1956,Domestic Wheat Price,34.082139611851325
Soviet Union,1956,Wheat Exports,66.36953585986906
Soviet Union,1956,Wheat Imports,49.03308477920068
Soviet Union,1957,Domestic Wheat Price,125.59111502269158
Soviet Union,1957,Wheat Exports,91.76834279643373
Soviet Union,1957,Wheat Imports,101.98156556183694
Soviet Union,1958,Domestic Wheat Price,108.84811276378046
Soviet Union,1958,Wheat Exports,66.58225094380265
Soviet Union,1958,Wheat Imports,74.20289434550712
Soviet Union,1959,Domestic Wheat Price,119.03083555126452
Soviet Union,1959,Wheat Exports,79.48069073827175
Soviet Union,1959,Wheat Imports,66.57541171564651
Soviet Union,1960,Domestic Wheat Price,67.75003403302429
Soviet Union,1960,Wheat Exports,82.20148204763916
Soviet Union,1960,Wheat Imports,90.91331609393478
Soviet Union,1961,Domestic Wheat Price,69.91450435968824
Soviet Union,1961,Wheat Exports,88.16909104952532
Soviet Union,1961,Wheat Imports,64.01285768264177
Soviet Union,1962,Domestic Wheat Price,81.08223564059057
Soviet Union,1962,Wheat Exports,81.9509889444272
Soviet Union,1962,Wheat Imports,53.407073936525855
Soviet Union,1963,Domestic Wheat Price,131.06305009618
Soviet Union,1963,Wheat Exports,126.68925312794656
Soviet Union,1963,Wheat Imports,90.61213514030774
Soviet Union,1964,Domestic Wheat Price,49.95577265430285
Soviet Union,1964,Wheat Exports,131.05304950501912
Soviet Union,1964,Wheat Imports,73.9155188576384
Soviet Union,1965,Domestic Wheat Price,97.28626010132518
Soviet Union,1965,Wheat Exports,68.4967964577255
Soviet Union,1965,Wheat Imports,107.30921704037786
China,1956,Domestic Wheat Price,81.93309779315521
China,1956,Wheat Exports,56.343518079230826
China,1956,Wheat Imports,49.74199520429177
China,1957,Domestic Wheat Price,74.55816409647369
China,1957,Wheat Exports,79.83955200872416
China,1957,Wheat Imports,62.476126414790635
China,1958,Domestic Wheat Price,134.68773330929093
China,1958,Wheat Exports,115.44814876609573
China,1958,Wheat Imports,99.99674566446805
China,1959,Domestic Wheat Price,103.99215620268603
China,1959,Wheat Exports,46.13551022392256
China,1959,Wheat Imports,98.38395868815743
China,1960,Domestic Wheat Price,83.7591927714893
China,1960,Wheat Exports,133.8099480866927
China,1960,Wheat Imports,136.71624551552728
China,1961,Domestic Wheat Price,116.47374773715686
China,1961,Wheat Exports,121.52848764263595
China,1961,Wheat Imports,113.38644098119585
China,1962,Domestic Wheat Price,45.65673522261116
China,1962,Wheat Exports,140.51516940338277
China,1962,Wheat Imports,99.8657200833355
China,1963,Domestic Wheat Price,83.14208910742609
China,1963,Wheat Exports,81.45005332721055
China,1963,Wheat Imports,57.865972839057605
China,1964,Domestic Wheat Price,97.83550769082676
China,1964,Wheat Exports,142.926138144853
China,1964,Wheat Imports,127.6882483366839
China,1965,Domestic Wheat Price,127.57006212388458
China,1965,Wheat Exports,80.28434996439535
China,1965,Wheat Imports,116.55010941507255
France,1956,Domestic Wheat Price,112.47280783947204
France,1956,Wheat Exports,137.8345317734358
France,1956,Wheat Imports,129.9784493183463
France,1957,Domestic Wheat Price,88.64313989846714
France,1957,Wheat Exports,112.0451005576908
France,1957,Wheat Imports,65.46159106526368
France,1958,Domestic Wheat Price,55.64661898811308
France,1958,Wheat Exports,108.45359773891423
France,1958,Wheat Imports,136.3271668712784
France,1959,Domestic Wheat Price,154.39983005727066
France,1959,Wheat Exports,64.94081249745662
France,1959,Wheat Imports,82.29985558894154
France,1960,Domestic Wheat Price,142.82351003303273
France,1960,Wheat Exports,83.22858797217387
France,1960,Wheat Imports,94.34556697418213
France,1961,Domestic Wheat Price,94.2798051797166
France,1961,Wheat Exports,105.22409773989845
France,1961,Wheat Imports,96.3540546531231
France,1962,Domestic Wheat Price,137.50612037899322
France,1962,Wheat Exports,120.12166339887767
France,1962,Wheat Imports,150.69137825496892
France,1963,Domestic Wheat Price,82.1250491287196
France,1963,Wheat Exports,76.1679311863485
France,1963,Wheat Imports,83.81510569992506
France,1964,Domestic Wheat Price,98.99674560159718
France,1964,Wheat Exports,121.3183503882508
France,1964,Wheat Imports,92.33936811180037
France,1965,Domestic Wheat Price,117.9623100251679
France,1965,Wheat Exports,126.05441224539643
France,1965,Wheat Imports,138.04123109950157
